t_s,E_before_V,I_A,E_after_V
0.302097,3.05175781e-06,9.47235107e-06,3.05175781e-06
0.450133,-2.74658203e-05,9.4732666e-06,-2.74658203e-05
0.601671,-2.74658203e-05,9.47418213e-06,-2.74658203e-05
0.754182,-5.18798828e-05,9.4744873e-06,-5.18798828e-05
0.912925,-1.22070313e-05,9.47509766e-06,-1.22070313e-05
1.049770,-3.96728516e-05,9.47540283e-06,-3.96728516e-05
1.229121,9.15527344e-05,3.01635742e-05,9.15527344e-05
1.393544,0.000131225586,3.01544189e-05,0.000131225586
1.548884,0.000140380859,3.01544189e-05,0.000140380859
1.713353,0.000131225586,3.01605225e-05,0.000131225586
1.863847,0.000112915039,3.0166626e-05,0.000112915039
2.013323,0.000137329102,3.01605225e-05,0.000137329102
2.163270,0.000140380859,3.01605225e-05,0.000140380859
2.313079,0.00012512207,3.01574707e-05,0.00012512207
2.478212,0.000128173828,3.01605225e-05,0.000128173828
2.643166,0.000109863281,3.01483154e-05,0.000109863281
2.803407,0.000122070312,3.01361084e-05,0.000122070312
2.963329,0.000119018555,3.01452637e-05,0.000119018555
3.128878,0.000115966797,3.01422119e-05,0.000115966797
3.287776,0.000119018555,3.01330566e-05,0.000119018555
3.438123,0.000115966797,3.01269531e-05,0.000115966797
3.588354,0.000109863281,3.01269531e-05,0.000109863281
3.738126,0.000137329102,3.01239014e-05,0.000137329102
3.888324,0.000128173828,3.01177979e-05,0.000128173828
4.037991,0.000128173828,3.01208496e-05,0.000128173828
4.188780,0.000115966797,3.01147461e-05,0.000115966797
4.338150,0.000115966797,3.01147461e-05,0.000115966797
4.487972,0.000119018555,3.01147461e-05,0.000119018555
4.638857,0.000112915039,3.01208496e-05,0.000112915039
4.793123,0.000103759766,3.01239014e-05,0.000103759766
4.943227,0.000122070312,3.01239014e-05,0.000122070312
5.098128,0.000134277344,3.01147461e-05,0.000134277344
5.253588,0.000119018555,3.01177979e-05,0.000119018555
5.402884,0.00012512207,3.01208496e-05,0.00012512207
5.553203,0.000109863281,3.01208496e-05,0.000109863281
5.717800,0.00012512207,3.01177979e-05,0.00012512207
5.878046,0.000119018555,3.01208496e-05,0.000119018555
6.037858,0.000106811523,3.01116943e-05,0.000106811523
6.187909,0.000122070312,3.01055908e-05,0.000122070312
6.338368,0.000128173828,3.0090332e-05,0.000128173828
6.488226,0.000103759766,3.00842285e-05,0.000103759766
6.638462,0.000115966797,3.0065918e-05,0.000115966797
6.788372,0.000149536133,2.81616211e-05,0.000106811523
6.943489,0.000106811523,2.81616211e-05,0.000106811523
7.098831,0.000106811523,2.81616211e-05,0.000106811523
7.232816,0.0101745605,3.11737061e-05,0.0101745605
7.403039,0.0101745605,3.11737061e-05,0.0101745605
7.536914,0.0502319336,3.52478027e-05,0.0502319336
7.696400,0.0502319336,3.52478027e-05,0.0502319336
7.830675,0.0804138184,3.83331299e-05,0.0804138184
